,Country,Happiness Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
95,Cameroon,5.044,0.549,0.331,0.381,0.187,0.037,2019
96,Bulgaria,5.011,1.092,0.815,0.311,0.081,0.004,2019
97,Ghana,4.996,0.611,0.486,0.381,0.245,0.04,2019
98,Ivory Coast,4.944,0.569,0.232,0.352,0.154,0.09,2019
99,Nepal,4.913,0.446,0.677,0.439,0.285,0.089,2019
100,Jordan,4.906,0.837,0.815,0.383,0.11,0.13,2019
101,Benin,4.883,0.393,0.397,0.349,0.175,0.082,2019
102,Congo (Brazzaville),4.812,0.673,0.508,0.372,0.105,0.093,2019
103,Gabon,4.799,1.057,0.571,0.295,0.043,0.055,2019
104,Laos,4.796,0.764,0.551,0.547,0.266,0.164,2019
105,South Africa,4.722,0.96,0.469,0.389,0.13,0.055,2019
106,Albania,4.719,0.947,0.874,0.383,0.178,0.027,2019
107,Venezuela,4.707,0.96,0.805,0.154,0.064,0.047,2019
108,Cambodia,4.7,0.574,0.637,0.609,0.232,0.062,2019
109,Palestinian Territories,4.696,0.657,0.672,0.225,0.103,0.066,2019
110,Senegal,4.681,0.45,0.571,0.292,0.153,0.072,2019
111,Somalia,4.668,0.0,0.268,0.559,0.243,0.27,2019
112,Namibia,4.639,0.879,0.477,0.401,0.07,0.056,2019
113,Niger,4.628,0.138,0.366,0.318,0.188,0.102,2019
114,Burkina Faso,4.587,0.331,0.38,0.255,0.177,0.113,2019
115,Armenia,4.559,0.85,0.815,0.283,0.095,0.064,2019
116,Iran,4.548,1.1,0.785,0.305,0.27,0.125,2019
117,Guinea,4.534,0.38,0.375,0.332,0.207,0.086,2019
118,Georgia,4.519,0.886,0.752,0.346,0.043,0.164,2019
119,Gambia,4.516,0.308,0.428,0.382,0.269,0.167,2019
120,Kenya,4.509,0.512,0.581,0.431,0.372,0.053,2019
121,Mauritania,4.49,0.57,0.489,0.066,0.106,0.088,2019
122,Mozambique,4.466,0.204,0.39,0.494,0.197,0.138,2019
123,Tunisia,4.461,0.921,0.815,0.167,0.059,0.055,2019
124,Bangladesh,4.456,0.562,0.723,0.527,0.166,0.143,2019
125,Iraq,4.437,1.043,0.574,0.241,0.148,0.089,2019
126,Congo (Kinshasa),4.418,0.094,0.357,0.269,0.212,0.053,2019
127,Mali,4.39,0.385,0.308,0.327,0.153,0.052,2019
128,Sierra Leone,4.374,0.268,0.242,0.309,0.252,0.045,2019
129,Sri Lanka,4.366,0.949,0.831,0.47,0.244,0.047,2019
130,Myanmar,4.36,0.71,0.555,0.525,0.566,0.172,2019
131,Chad,4.35,0.35,0.192,0.174,0.198,0.078,2019
132,Ukraine,4.332,0.82,0.739,0.178,0.187,0.01,2019
133,Ethiopia,4.286,0.336,0.532,0.344,0.209,0.1,2019
134,Swaziland,4.212,0.811,0.0,0.313,0.074,0.135,2019
135,Uganda,4.189,0.332,0.443,0.356,0.252,0.06,2019
136,Egypt,4.166,0.913,0.644,0.241,0.076,0.067,2019
137,Zambia,4.107,0.578,0.426,0.431,0.247,0.087,2019
138,Togo,4.085,0.275,0.41,0.293,0.177,0.085,2019
139,India,4.015,0.755,0.588,0.498,0.2,0.085,2019
140,Liberia,3.975,0.073,0.443,0.37,0.233,0.033,2019
141,Comoros,3.973,0.274,0.505,0.142,0.275,0.078,2019
142,Madagascar,3.933,0.274,0.555,0.148,0.169,0.041,2019
143,Lesotho,3.802,0.489,0.168,0.359,0.107,0.093,2019
144,Burundi,3.775,0.046,0.38,0.22,0.176,0.18,2019
145,Zimbabwe,3.663,0.366,0.433,0.361,0.151,0.089,2019
146,Haiti,3.597,0.323,0.449,0.026,0.419,0.11,2019
147,Botswana,3.488,1.041,0.538,0.455,0.025,0.1,2019
148,Syria,3.462,0.619,0.44,0.013,0.331,0.141,2019
149,Malawi,3.41,0.191,0.495,0.443,0.218,0.089,2019
150,Yemen,3.38,0.287,0.463,0.143,0.108,0.077,2019
151,Rwanda,3.334,0.359,0.614,0.555,0.217,0.411,2019
152,Tanzania,3.231,0.476,0.499,0.417,0.276,0.147,2019
153,Afghanistan,3.203,0.35,0.361,0.0,0.158,0.025,2019
154,Central African Republic,3.083,0.026,0.105,0.225,0.235,0.035,2019
155,South Sudan,2.853,0.306,0.295,0.01,0.202,0.091,2019
0,Finland,7.632,1.305,0.874,0.681,0.202,0.393,2018
1,Norway,7.594,1.456,0.861,0.686,0.286,0.34,2018
2,Denmark,7.555,1.351,0.868,0.683,0.284,0.408,2018
3,Iceland,7.495,1.343,0.914,0.677,0.353,0.138,2018
4,Switzerland,7.487,1.42,0.927,0.66,0.256,0.357,2018
5,Netherlands,7.441,1.361,0.878,0.638,0.333,0.295,2018
6,Canada,7.328,1.33,0.896,0.653,0.321,0.291,2018
7,New Zealand,7.324,1.268,0.876,0.669,0.365,0.389,2018
8,Sweden,7.314,1.355,0.913,0.659,0.285,0.383,2018
9,Australia,7.272,1.34,0.91,0.647,0.361,0.302,2018
10,United Kingdom,7.19,1.244,0.888,0.464,0.262,0.082,2018
11,Austria,7.139,1.341,0.891,0.617,0.242,0.224,2018
12,Costa Rica,7.072,1.01,0.817,0.632,0.143,0.101,2018
13,Ireland,6.977,1.448,0.876,0.614,0.307,0.306,2018
14,Germany,6.965,1.34,0.861,0.586,0.273,0.28,2018
15,Belgium,6.927,1.324,0.894,0.583,0.188,0.24,2018
16,Luxembourg,6.91,1.576,0.896,0.632,0.196,0.321,2018
17,United States,6.886,1.398,0.819,0.547,0.291,0.133,2018
18,Israel,6.814,1.301,0.883,0.533,0.354,0.272,2018
19,United Arab Emirates,6.774,2.096,0.67,0.284,0.186,,2018
20,Czech Republic,6.711,1.233,0.854,0.543,0.064,0.034,2018
21,Malta,6.627,1.27,0.884,0.645,0.376,0.142,2018
22,France,6.489,1.293,0.908,0.52,0.098,0.176,2018
23,Mexico,6.488,1.038,0.761,0.479,0.069,0.095,2018
24,Chile,6.476,1.131,0.808,0.431,0.197,0.061,2018
25,Taiwan,6.441,1.365,0.857,0.418,0.151,0.078,2018
26,Panama,6.43,1.112,0.759,0.597,0.125,0.063,2018
27,Brazil,6.419,0.986,0.675,0.493,0.11,0.088,2018
28,Argentina,6.388,1.073,0.744,0.57,0.062,0.054,2018
29,Guatemala,6.382,0.781,0.608,0.604,0.179,0.071,2018
30,Uruguay,6.379,1.093,0.771,0.625,0.13,0.155,2018
31,Qatar,6.374,1.649,0.748,0.654,0.256,0.171,2018
32,Saudi Arabia,6.371,1.379,0.633,0.509,0.098,0.127,2018
33,Singapore,6.343,1.529,1.008,0.631,0.261,0.457,2018
34,Malaysia,6.322,1.161,0.669,0.356,0.311,0.059,2018
35,Spain,6.31,1.251,0.965,0.449,0.142,0.074,2018
36,Colombia,6.26,0.96,0.635,0.531,0.099,0.039,2018
37,Trinidad & Tobago,6.192,1.223,0.564,0.575,0.171,0.019,2018
38,Slovakia,6.173,1.21,0.776,0.354,0.118,0.014,2018
39,El Salvador,6.167,0.806,0.639,0.461,0.065,0.082,2018
40,Nicaragua,6.141,0.668,0.7,0.527,0.208,0.128,2018
41,Poland,6.123,1.176,0.781,0.546,0.108,0.064,2018
42,Bahrain,6.105,1.338,0.698,0.594,0.243,0.123,2018
43,Uzbekistan,6.096,0.719,0.605,0.724,0.328,0.259,2018
44,Kuwait,6.083,1.474,0.675,0.554,0.167,0.106,2018
45,Thailand,6.072,1.016,0.707,0.637,0.364,0.029,2018
46,Italy,6.0,1.264,0.946,0.281,0.137,0.028,2018
47,Ecuador,5.973,0.889,0.736,0.556,0.114,0.12,2018
48,Belize,5.956,0.807,0.474,0.593,0.183,0.089,2018
49,Lithuania,5.952,1.197,0.716,0.35,0.026,0.006,2018
50,Slovenia,5.948,1.219,0.856,0.633,0.16,0.051,2018
51,Romania,5.945,1.116,0.726,0.528,0.088,0.001,2018
52,Latvia,5.933,1.148,0.671,0.363,0.092,0.066,2018
53,Japan,5.915,1.294,0.988,0.553,0.079,0.15,2018
54,Mauritius,5.891,1.09,0.684,0.584,0.245,0.05,2018
55,Jamaica,5.89,0.819,0.693,0.575,0.096,0.031,2018
56,South Korea,5.875,1.266,0.955,0.244,0.175,0.051,2018
57,Northern Cyprus,5.835,1.229,0.909,0.495,0.179,0.154,2018
58,Russia,5.81,1.151,0.599,0.399,0.065,0.025,2018
59,Kazakhstan,5.79,1.143,0.631,0.454,0.148,0.121,2018
60,Cyprus,5.762,1.229,0.909,0.423,0.202,0.035,2018
61,Bolivia,5.752,0.751,0.508,0.606,0.141,0.054,2018
62,Estonia,5.739,1.2,0.737,0.553,0.086,0.174,2018
63,Paraguay,5.681,0.835,0.615,0.541,0.162,0.074,2018
64,Peru,5.663,0.934,0.674,0.53,0.092,0.034,2018
65,Kosovo,5.662,0.855,0.578,0.448,0.274,0.023,2018
66,Moldova,5.64,0.657,0.62,0.232,0.171,0.0,2018
67,Turkmenistan,5.636,1.016,0.517,0.417,0.199,0.037,2018
68,Hungary,5.62,1.171,0.732,0.259,0.061,0.022,2018
69,Libya,5.566,0.985,0.553,0.496,0.116,0.148,2018
70,Philippines,5.524,0.775,0.513,0.643,0.12,0.105,2018
71,Honduras,5.504,0.62,0.622,0.459,0.197,0.074,2018
72,Belarus,5.483,1.039,0.7,0.307,0.101,0.154,2018
73,Turkey,5.483,1.148,0.686,0.324,0.106,0.109,2018
74,Pakistan,5.472,0.652,0.424,0.334,0.216,0.113,2018
75,Hong Kong,5.43,1.405,1.03,0.524,0.246,0.291,2018
76,Portugal,5.41,1.188,0.884,0.562,0.055,0.017,2018
77,Serbia,5.398,0.975,0.685,0.288,0.134,0.043,2018
78,Greece,5.358,1.154,0.879,0.131,0.0,0.044,2018
79,Lebanon,5.358,0.965,0.785,0.503,0.214,0.136,2018
80,Montenegro,5.347,1.017,0.729,0.259,0.111,0.081,2018
81,Croatia,5.321,1.115,0.737,0.38,0.12,0.039,2018
82,Dominican Republic,5.302,0.982,0.614,0.578,0.12,0.106,2018
83,Algeria,5.295,0.979,0.687,0.077,0.055,0.135,2018
84,Morocco,5.254,0.779,0.669,0.46,0.026,0.074,2018
85,China,5.246,0.989,0.799,0.597,0.029,0.103,2018
86,Azerbaijan,5.201,1.024,0.603,0.43,0.031,0.176,2018
87,Tajikistan,5.199,0.474,0.598,0.292,0.187,0.034,2018
88,Macedonia,5.185,0.959,0.691,0.394,0.173,0.052,2018
89,Jordan,5.161,0.822,0.645,0.468,0.13,0.134,2018
90,Nigeria,5.155,0.689,0.048,0.462,0.201,0.032,2018
91,Kyrgyzstan,5.131,0.53,0.594,0.54,0.281,0.035,2018
92,Bosnia and Herzegovina,5.129,0.915,0.758,0.28,0.216,0.0,2018
93,Mongolia,5.125,0.914,0.575,0.395,0.253,0.032,2018
94,Vietnam,5.103,0.715,0.702,0.618,0.177,0.079,2018
95,Indonesia,5.093,0.899,0.522,0.538,0.484,0.018,2018
96,Bhutan,5.082,0.796,0.527,0.541,0.364,0.171,2018
97,Somalia,4.982,0.0,0.115,0.674,0.238,0.282,2018
98,Cameroon,4.975,0.535,0.182,0.454,0.183,0.043,2018
99,Bulgaria,4.933,1.054,0.712,0.359,0.064,0.009,2018
100,Nepal,4.88,0.425,0.539,0.526,0.302,0.078,2018
101,Venezuela,4.806,0.996,0.657,0.133,0.056,0.052,2018
102,Gabon,4.758,1.036,0.404,0.356,0.032,0.052,2018
103,Palestinian Territories,4.743,0.642,0.602,0.266,0.086,0.076,2018
104,South Africa,4.724,0.94,0.33,0.516,0.103,0.056,2018
105,Iran,4.707,1.059,0.691,0.459,0.282,0.129,2018
106,Ivory Coast,4.671,0.541,0.08,0.467,0.146,0.103,2018
107,Ghana,4.657,0.592,0.337,0.499,0.212,0.029,2018
108,Senegal,4.631,0.429,0.433,0.406,0.138,0.082,2018
109,Laos,4.623,0.72,0.441,0.626,0.23,0.174,2018
110,Tunisia,4.592,0.9,0.69,0.271,0.04,0.063,2018
111,Albania,4.586,0.916,0.79,0.419,0.149,0.032,2018
112,Sierra Leone,4.571,0.256,0.0,0.355,0.238,0.053,2018
113,Congo (Brazzaville),4.559,0.682,0.343,0.514,0.091,0.077,2018
114,Bangladesh,4.5,0.532,0.579,0.58,0.153,0.144,2018
115,Sri Lanka,4.471,0.918,0.672,0.585,0.307,0.05,2018
116,Iraq,4.456,1.01,0.536,0.304,0.148,0.095,2018
117,Mali,4.447,0.37,0.152,0.367,0.139,0.056,2018
118,Namibia,4.441,0.874,0.365,0.519,0.051,0.064,2018
119,Cambodia,4.433,0.549,0.457,0.696,0.256,0.065,2018
120,Burkina Faso,4.424,0.314,0.254,0.312,0.175,0.128,2018
121,Egypt,4.419,0.885,0.553,0.312,0.092,0.107,2018
122,Mozambique,4.417,0.198,0.173,0.531,0.206,0.158,2018
123,Kenya,4.41,0.493,0.454,0.504,0.352,0.055,2018
124,Zambia,4.377,0.562,0.295,0.503,0.221,0.082,2018
125,Mauritania,4.356,0.557,0.292,0.129,0.134,0.093,2018
126,Ethiopia,4.35,0.308,0.391,0.452,0.22,0.146,2018
127,Georgia,4.34,0.853,0.643,0.375,0.038,0.215,2018
128,Armenia,4.321,0.816,0.666,0.26,0.077,0.028,2018
129,Myanmar,4.308,0.682,0.429,0.58,0.598,0.178,2018
130,Chad,4.301,0.358,0.053,0.189,0.181,0.06,2018
131,Congo (Kinshasa),4.245,0.069,0.204,0.312,0.197,0.052,2018
132,India,4.19,0.721,0.485,0.539,0.172,0.093,2018
133,Niger,4.166,0.131,0.221,0.39,0.175,0.099,2018
134,Uganda,4.161,0.322,0.237,0.45,0.259,0.061,2018
135,Benin,4.141,0.378,0.24,0.44,0.163,0.067,2018
136,Sudan,4.139,0.605,0.312,0.016,0.134,0.082,2018
137,Ukraine,4.103,0.793,0.609,0.163,0.187,0.011,2018
138,Togo,3.999,0.259,0.253,0.434,0.158,0.101,2018
139,Guinea,3.964,0.344,0.211,0.394,0.185,0.094,2018
140,Lesotho,3.808,0.472,0.079,0.423,0.116,0.112,2018
141,Angola,3.795,0.73,0.269,0.0,0.079,0.061,2018
142,Madagascar,3.774,0.262,0.402,0.221,0.155,0.049,2018
143,Zimbabwe,3.692,0.357,0.248,0.406,0.132,0.099,2018
144,Afghanistan,3.632,0.332,0.255,0.085,0.191,0.036,2018
145,Botswana,3.59,1.017,0.417,0.557,0.042,0.092,2018
146,Malawi,3.587,0.186,0.306,0.531,0.21,0.08,2018
147,Haiti,3.582,0.315,0.289,0.025,0.392,0.104,2018
148,Liberia,3.495,0.076,0.267,0.419,0.206,0.03,2018
149,Syria,3.462,0.689,0.539,0.088,0.376,0.144,2018
150,Rwanda,3.408,0.332,0.4,0.636,0.2,0.444,2018
151,Yemen,3.355,0.442,0.343,0.244,0.083,0.064,2018
152,Tanzania,3.303,0.455,0.381,0.481,0.27,0.097,2018
153,South Sudan,3.254,0.337,0.177,0.112,0.224,0.106,2018
154,Central African Republic,3.083,0.024,0.01,0.305,0.218,0.038,2018
155,Burundi,2.905,0.091,0.145,0.065,0.149,0.076,2018
0,Norway,7.53700017929077,1.61646318435669,0.796666502952576,0.635422587394714,0.36201223731041,0.315963834524155,2017
1,Denmark,7.52199983596802,1.48238301277161,0.792565524578094,0.626006722450256,0.355280488729477,0.40077006816864,2017
2,Iceland,7.50400018692017,1.480633020401,0.833552122116089,0.627162635326385,0.475540220737457,0.153526559472084,2017
3,Switzerland,7.49399995803833,1.56497955322266,0.858131289482117,0.620070576667786,0.290549278259277,0.367007285356522,2017
4,Finland,7.4689998626709,1.44357192516327,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014,2017
5,Netherlands,7.3769998550415,1.50394463539124,0.810696125030518,0.585384488105774,0.470489829778671,0.282661825418472,2017
6,Canada,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627,0.287371516227722,2017
7,New Zealand,7.31400012969971,1.40570604801178,0.816759705543518,0.614062130451202,0.500005125999451,0.382816702127457,2017
8,Sweden,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.385399252176285,0.384398728609085,2017
9,Australia,7.28399991989136,1.484414935112,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846,2017
10,Israel,7.21299982070923,1.37538242340088,0.83840399980545,0.405988603830338,0.330082654953003,0.0852421000599861,2017
11,Costa Rica,7.0789999961853,1.10970628261566,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136,2017
12,Austria,7.00600004196167,1.48709726333618,0.815328419208527,0.567766189575195,0.316472321748734,0.221060365438461,2017
13,United States,6.99300003051758,1.54625928401947,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476,2017
14,Ireland,6.97700023651123,1.53570663928986,0.80978262424469,0.573110342025757,0.42785832285881,0.29838815331459,2017
15,Germany,6.95100021362305,1.48792338371277,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2017
16,Belgium,6.89099979400635,1.46378076076508,0.818091869354248,0.539770722389221,0.231503337621689,0.251343131065369,2017
17,Luxembourg,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,2017
18,United Kingdom,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202,0.265428066253662,2017
19,Chile,6.65199995040894,1.25278460979462,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2017
20,United Arab Emirates,6.64799976348877,1.62634336948395,0.726798236370087,0.60834527015686,0.3609419465065,0.324489563703537,2017
21,Brazil,6.63500022888184,1.10735321044922,0.616552352905273,0.437453746795654,0.16234989464283,0.111092761158943,2017
22,Czech Republic,6.60900020599365,1.35268235206604,0.754444003105164,0.490946173667908,0.0881067588925362,0.0368729270994663,2017
23,Argentina,6.59899997711182,1.18529546260834,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2017
24,Mexico,6.57800006866455,1.15318381786346,0.709978997707367,0.412730008363724,0.120990432798862,0.132774114608765,2017
25,Singapore,6.57200002670288,1.69227766990662,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,2017
26,Malta,6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777,0.574730575084686,0.153066068887711,2017
27,Uruguay,6.4539999961853,1.21755969524384,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2017
28,Guatemala,6.4539999961853,0.872001945972443,0.540239989757538,0.531310617923737,0.283488392829895,0.0772232785820961,2017
29,Panama,6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2017
30,France,6.44199991226196,1.43092346191406,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2017
31,Thailand,6.42399978637695,1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2017
32,Taiwan Province of China,6.42199993133545,1.43362653255463,0.793984234333038,0.361466586589813,0.258360475301743,0.0638292357325554,2017
33,Spain,6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677,0.190133571624756,0.0709140971302986,2017
34,Qatar,6.375,1.87076568603516,0.710098087787628,0.604130983352661,0.330473870038986,0.439299255609512,2017
35,Colombia,6.35699987411499,1.07062232494354,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2017
36,Saudi Arabia,6.3439998626709,1.53062355518341,0.590148329734802,0.449750572443008,0.147616013884544,0.27343225479126,2017
37,Trinidad and Tobago,6.16800022125244,1.36135590076447,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459,2017
38,Kuwait,6.10500001907349,1.63295245170593,0.632105708122253,0.496337592601776,0.228289797902107,0.215159550309181,2017
39,Slovakia,6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073,0.136544480919838,0.0242108516395092,2017
40,Bahrain,6.08699989318848,1.48841226100922,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923,2017
41,Malaysia,6.08400011062622,1.29121541976929,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218,2017
42,Nicaragua,6.07100009918213,0.737299203872681,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948,2017
43,Ecuador,6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569,0.150112465023994,0.140134647488594,2017
44,El Salvador,6.00299978256226,0.909784495830536,0.596018552780151,0.432452529668808,0.0782579854130745,0.0899809598922729,2017
45,Poland,5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286,2017
46,Uzbekistan,5.97100019454956,0.786441087722778,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929,2017
47,Italy,5.96400022506714,1.39506661891937,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629,2017
48,Russia,5.96299982070923,1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522,2017
49,Belize,5.95599985122681,0.907975316047668,0.450191766023636,0.547509372234344,0.240015640854836,0.0965810716152191,2017
50,Japan,5.92000007629395,1.41691517829895,0.913475871086121,0.505625545978546,0.12057276815176,0.163760736584663,2017
51,Lithuania,5.90199995040894,1.31458234786987,0.62894994020462,0.234231784939766,0.010164656676352,0.0118656428530812,2017
52,Algeria,5.87200021743774,1.09186446666718,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933,2017
53,Latvia,5.84999990463257,1.26074862480164,0.638566970825195,0.325707912445068,0.153074786067009,0.0738427266478539,2017
54,South Korea,5.83799982070923,1.40167844295502,0.900214076042175,0.257921665906906,0.206674367189407,0.0632826685905457,2017
55,Moldova,5.83799982070923,0.728870630264282,0.589465200901031,0.240729048848152,0.208779126405716,0.0100912861526012,2017
56,Romania,5.82499980926514,1.21768391132355,0.685158312320709,0.457003742456436,0.133519917726517,0.00438790069893,2017
57,Bolivia,5.82299995422363,0.833756566047668,0.473630249500275,0.558732926845551,0.22556072473526,0.0604777261614799,2017
58,Turkmenistan,5.82200002670288,1.13077676296234,0.437726080417633,0.41827192902565,0.24992498755455,0.259270340204239,2017
59,Kazakhstan,5.81899976730347,1.28455626964569,0.606041550636292,0.437454283237457,0.201964423060417,0.119282886385918,2017
60,North Cyprus,5.80999994277954,1.3469113111496,0.834647238254547,0.471203625202179,0.266845703125,0.155353352427483,2017
61,Slovenia,5.75799989700317,1.3412059545517,0.790828227996826,0.572575807571411,0.242649093270302,0.0451289787888527,2017
62,Peru,5.71500015258789,1.03522527217865,0.630166113376617,0.450002878904343,0.126819714903831,0.0470490865409374,2017
63,Mauritius,5.62900018692017,1.18939554691315,0.638007462024689,0.491247326135635,0.360933750867844,0.0421815551817417,2017
64,Cyprus,5.62099981307983,1.35593807697296,0.84471470117569,0.355111539363861,0.271254301071167,0.0412379764020443,2017
65,Estonia,5.61100006103516,1.32087934017181,0.695168316364288,0.479131430387497,0.0988908112049103,0.183248922228813,2017
66,Belarus,5.56899976730347,1.15655755996704,0.637714266777039,0.295400261878967,0.15513750910759,0.156313821673393,2017
67,Libya,5.52500009536743,1.10180306434631,0.520169019699097,0.465733230113983,0.152073666453362,0.0926102101802826,2017
68,Turkey,5.5,1.19827437400818,0.637605607509613,0.300740599632263,0.0466930419206619,0.0996715798974037,2017
69,Paraguay,5.49300003051758,0.932537317276001,0.579250693321228,0.473507791757584,0.224150657653809,0.091065913438797,2017
70,"Hong Kong S.A.R., China",5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988,0.374465793371201,0.293933749198914,2017
71,Philippines,5.42999982833862,0.85769921541214,0.468009054660797,0.585214674472809,0.193513423204422,0.0993318930268288,2017
72,Serbia,5.39499998092651,1.06931757926941,0.65078467130661,0.208715528249741,0.220125883817673,0.0409037806093693,2017
73,Jordan,5.33599996566772,0.991012394428253,0.604590058326721,0.418421149253845,0.172170460224152,0.11980327218771,2017
74,Hungary,5.32399988174438,1.2860119342804,0.687763452529907,0.175863519310951,0.0784016624093056,0.0366369374096394,2017
75,Jamaica,5.31099987030029,0.925579309463501,0.641022384166718,0.474307239055634,0.233818337321281,0.0552677810192108,2017
76,Croatia,5.29300022125244,1.22255623340607,0.701288521289825,0.255772292613983,0.248002976179123,0.0431031100451946,2017
77,Kosovo,5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167,0.319931447505951,0.0574716180562973,2017
78,China,5.27299976348877,1.08116579055786,0.741415500640869,0.472787708044052,0.0288068410009146,0.0227942746132612,2017
79,Pakistan,5.26900005340576,0.72688353061676,0.402047783136368,0.23521526157856,0.315446019172668,0.124348066747189,2017
80,Indonesia,5.26200008392334,0.995538592338562,0.492345720529556,0.443323463201523,0.611704587936401,0.0153171354904771,2017
81,Venezuela,5.25,1.12843120098114,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,2017
82,Montenegro,5.23699998855591,1.12112903594971,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,2017
83,Morocco,5.2350001335144,0.878114581108093,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2017
84,Azerbaijan,5.23400020599365,1.15360176563263,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,2017
85,Dominican Republic,5.23000001907349,1.07937383651733,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017
86,Greece,5.22700023651123,1.28948748111725,0.810198903083801,0.0957312509417534,0.0,0.04328977689147,2017
87,Lebanon,5.22499990463257,1.07498753070831,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,2017
88,Portugal,5.19500017166138,1.3151752948761,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,2017
89,Bosnia and Herzegovina,5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725,0.328867495059967,0.0,2017
90,Honduras,5.18100023269653,0.730573117733002,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2017
91,Macedonia,5.17500019073486,1.06457793712616,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,2017
92,Somalia,5.15100002288818,0.0226431842893362,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,2017
93,Vietnam,5.07399988174438,0.788547575473785,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,2017
94,Nigeria,5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2017
95,Tajikistan,5.04099988937378,0.524713635444641,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,2017
96,Bhutan,5.01100015640259,0.885416388511658,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,2017
97,Kyrgyzstan,5.00400018692017,0.596220076084137,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,2017
98,Nepal,4.96199989318848,0.479820191860199,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,2017
99,Mongolia,4.95499992370605,1.02723586559296,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,2017
100,South Africa,4.8289999961853,1.05469870567322,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,2017
101,Tunisia,4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017
102,Palestinian Territories,4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017
103,Egypt,4.7350001335144,0.989701807498932,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017
104,Bulgaria,4.71400022506714,1.1614590883255,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017
105,Sierra Leone,4.70900011062622,0.36842092871666,0.0055647538974881,0.318697690963745,0.293040901422501,0.0710951760411263,2017
106,Cameroon,4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2017
107,Iran,4.69199991226196,1.15687310695648,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,2017
